index,video_title,video_link,video_length,video_likes,video_dislikes,video_id,video_tags,vector_tags
18169,Three Hot Latinas Riding White Cock For Warm Cum On Their Faces,https://www.pornktube.tv/videos/18169/three-hot-latinas-riding-white-cock-for-warm-cum-on-their-faces/,27,501,263,18169,"['group_sex', 'latin', 'teen']","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 1 0 0]"
18120,Black Porn. Cheating Husband Fucks His Ex Girlfriend In The Window Hole,https://www.pornktube.tv/videos/18120/black-porn-cheating-husband-fucks-his-ex-girlfriend-in-the-window-hole/,30,412,199,18120,"['black', 'cheating', 'group_sex']","[0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0]"
18080,Pervert Guy Steals His Step Sister's Panties And Wants To Lick Her Ass,https://www.pornktube.tv/videos/18080/pervert-guy-steals-his-step-sister-s-panties-and-wants-to-lick-her-ass/,52,388,172,18080,"['anal', 'college', 'teen']","[0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 1 0 0]"
18397,Modest Teen Ruby Reign Seduced By Married Couple Who Loves Anal,https://www.pornktube.tv/videos/18397/modest-teen-ruby-reign-seduced-by-married-couple-who-loves-anal/,27,385,164,18397,"['anal', 'group_sex']","[0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0]"
18187,Young Guy Kyle Mason Fucks His New Girlfriend's Horny Mommy Cherie Deville,https://www.pornktube.tv/videos/18187/young-guy-kyle-mason-fucks-his-new-girlfriend-s-horny-mommy-cherie-deville/,34,835,400,18187,"['anal', 'big_tits', 'mature']","[0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0]"
18177,Robby Echo Just Wanted To Fuck His Girlfriend But She Only Thinks About Her Slutty Stepmom,https://www.pornktube.tv/videos/18177/robby-echo-just-wanted-to-fuck-his-girlfriend-but-she-only-thinks-about-her-slutty-stepmom/,40,336,126,18177,"['big_tits', 'blonde', 'group_sex']","[0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0]"
18152,Dark Body And Small Tits Teen Seduces Busty Blonde Jessa Rhodes,https://www.pornktube.tv/videos/18152/dark-body-and-small-tits-teen-seduces-busty-blonde-jessa-rhodes/,27,89,35,18152,"['interracial', 'lesbian', 'masturbation']","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0]"
18485,Bad Schoolgirl Kali Roses Completely Swallows Huge Cock! She has talent,https://www.pornktube.tv/videos/18485/bad-schoolgirl-kali-roses-completely-swallows-huge-cock-she-has-talent/,41,418,225,18485,"['blonde', 'tattoo', 'teen']","[0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 1 0 1 0 0]"
18399,Asian Schoolgirl Kimora Quin Takes A Load Of Cum In Her Teen Pussy,https://www.pornktube.tv/videos/18399/asian-schoolgirl-kimora-quin-takes-a-load-of-cum-in-her-teen-pussy/,26,269,128,18399,"['asian', 'cumshot', 'teen']","[0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 1 0 0]"
18380,Busty MILF Shay Sights Takes Her Stepson's Cock In Her Tight Ass,https://www.pornktube.tv/videos/18380/busty-milf-shay-sights-takes-her-stepson-s-cock-in-her-tight-ass/,33,345,169,18380,"['anal', 'big_tits', 'mature']","[0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0]"
18217,"Two Guys Oliver Flynn, James Angel And Their Girlfriends - Lulu Chu And Willow Ryder",https://www.pornktube.tv/videos/18217/two-guys-oliver-flynn-james-angel-and-their-girlfriends-lulu-chu-and-willow-ryder/,41,241,107,18217,"['amateur', 'interracial', 'teen']","[1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 1 0 0]"
18492,Hot Blonde Kali Roses Gets Her Sultry Pussy Banged By Oiled Cock,https://www.pornktube.tv/videos/18492/hot-blonde-kali-roses-gets-her-sultry-pussy-banged-by-oiled-cock/,29,348,141,18492,"['blonde', 'nudist', 'tattoo']","[0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
 0 0 0 0 0 0 0 1 0 0 0 0]"
18401,Rude Man Dominates Elegant Lady And Cums On Her Cute Face,https://www.pornktube.tv/videos/18401/rude-man-dominates-elegant-lady-and-cums-on-her-cute-face/,34,249,101,18401,"['blonde', 'feet', 'mature']","[0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0]"
18186,Natural Tits Angela White And Her Husband's Horny Girlfriends,https://www.pornktube.tv/videos/18186/natural-tits-angela-white-and-her-husband-s-horny-girlfriends/,40,608,282,18186,"['big_tits', 'group_sex', 'pornstar']","[0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
 0 0 0 0 0 0 0 0 0 0 0 0]"
18124,Bearded Guy Cheats On His Fiancee And Fucks Her Busty Girlfriend,https://www.pornktube.tv/videos/18124/bearded-guy-cheats-on-his-fiancee-and-fucks-her-busty-girlfriend/,31,573,301,18124,"['big_tits', 'cheating', 'mature']","[0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0]"
18420,Bald Old Man Fucks Naughty Cheeky Teen On The Kitchen Table,https://www.pornktube.tv/videos/18420/bald-old-man-fucks-naughty-cheeky-teen-on-the-kitchen-table/,22,848,441,18420,"['brunette', 'teen']","[0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 1 0 0]"
18395,Horny Girlfriends Have Funny Games On The Lawn And A Depraved Threesome,https://www.pornktube.tv/videos/18395/horny-girlfriends-have-funny-games-on-the-lawn-and-a-depraved-threesome/,32,199,102,18395,"['group_sex', 'lesbian', 'nudist']","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0]"
18386,Young Guy Assists Busy Businesswoman And Fucks Her From Time To Time,https://www.pornktube.tv/videos/18386/young-guy-assists-busy-businesswoman-and-fucks-her-from-time-to-time/,29,505,249,18386,"['big_tits', 'mature']","[0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0]"
18384,My Step Brother Spied On Me When I Changed And I Got So Horny From It,https://www.pornktube.tv/videos/18384/my-step-brother-spied-on-me-when-i-changed-and-i-got-so-horny-from-it/,26,598,282,18384,"['blowjob', 'teen']","[0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 1 0 0]"
18491,Two Hot Girls Scarlett And Babe Nicols Need A Romantic Fuck,https://www.pornktube.tv/videos/18491/two-hot-girls-scarlett-and-babe-nicols-need-a-romantic-fuck/,37,385,214,18491,"['group_sex', 'latin']","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0]"
18487,Fun And Naughty Cutie Loves Having Her Oiled Pussy Fucked By A Big Dick,https://www.pornktube.tv/videos/18487/fun-and-naughty-cutie-loves-having-her-oiled-pussy-fucked-by-a-big-dick/,50,204,115,18487,"['amateur', 'latin', 'teen']","[1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 1 0 0]"
18484,My Step Daddy Scolded Me For Being Drunk But I Know How To Soften His Temper,https://www.pornktube.tv/videos/18484/my-step-daddy-scolded-me-for-being-drunk-but-i-know-how-to-soften-his-temper/,40,380,184,18484,"['blonde', 'pov', 'teen']","[0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
 0 0 0 0 0 0 0 0 0 1 0 0]"
18223,I Hope My Mom Doesn't Find Out That I Fucked Her Busty Girlfriend Christina,https://www.pornktube.tv/videos/18223/i-hope-my-mom-doesn-t-find-out-that-i-fucked-her-busty-girlfriend-christina/,22,400,182,18223,"['mature', 'pov']","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0
 0 0 0 0 0 0 0 0 0 0 0 0]"
18293,Xander Corvus Fucked Roughly Young Housewife Charly Summer,https://www.pornktube.tv/videos/18293/xander-corvus-fucked-roughly-young-housewife-charly-summer/,32,375,229,18293,['teen'],"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 1 0 0]"
18496,My Stepmom Is Fat But Her Tits Are Really Sexy And Her Pussy Wants My Cock,https://www.pornktube.tv/videos/18496/my-stepmom-is-fat-but-her-tits-are-really-sexy-and-her-pussy-wants-my-cock/,31,1723,680,18496,"['big_tits', 'fat', 'mature']","[0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0]"
